Sat Jan 17 14:44:03 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:44:22 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:45:03 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:45:22 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:46:03 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:46:22 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:47:03 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:47:22 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:48:03 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:48:22 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:49:03 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:49:22 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:50:03 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:50:22 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:51:03 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:51:23 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:52:03 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:52:23 CET 2026: Port 8000 already in use; sleeping 60s
Sat Jan 17 14:53:03 CET 2026: Received termination signal, forwarding to child 67751
Sat Jan 17 14:53:23 CET 2026: Received termination signal, forwarding to child 67760
